platform,region,vehicle,raw_text,sentiment,feature,feature_sentiment,competitor,pain_point,opportunity,priority,rating
CarDekho,Bangalore,Safari,Support is okay,Neutral,Service,Neutral,Hyundai Creta,High Price,Technology Upgrade,LOW,3.4
ZigWheels,Delhi,Safari,Bold looks and premium cabin,Positive,Design,Positive,Mahindra XUV700,Infotainment Lag,Service Expansion,CRITICAL,2.4
CarDekho,Lucknow,Safari,Great handling and smooth ride experience,Positive,Performance,Positive,Mahindra XUV700,High Price,Technology Upgrade,MEDIUM,2.1
CarDekho,Chennai,Harrier,Great value for money,Positive,Pricing,Positive,Mahindra XUV700,High Price,Technology Upgrade,MEDIUM,3.6
CarDekho,Mumbai,Harrier,Spacious cabin and comfortable for long drives,Positive,Comfort & Space,Positive,Hyundai Alcazar,Low Mileage,Feature Addition,CRITICAL,4
ZigWheels,Hyderabad,Safari,Features are decent,Neutral,Technology & Infotainment,Neutral,Hyundai Alcazar,Spare Part Availability,Technology Upgrade,LOW,2.5
ZigWheels,Bangalore,Safari,Build quality feels rock solid,Positive,Build Quality,Positive,Kia Seltos,Low Mileage,Technology Upgrade,LOW,2.2
ZigWheels,Bangalore,Harrier,High price for features offered,Negative,Pricing,Negative,Hyundai Creta,High Price,Service Expansion,CRITICAL,1.6
ZigWheels,Kolkata,Harrier,Features are decent,Neutral,Technology & Infotainment,Neutral,Hyundai Creta,Low Mileage,Technology Upgrade,LOW,2.9
Twitter,Delhi,Safari,Seats are not comfortable,Negative,Comfort & Space,Negative,MG Hector,Infotainment Lag,Service Expansion,MEDIUM,3.1
Twitter,Delhi,Safari,Spacious cabin and comfortable for long drives,Positive,Comfort & Space,Positive,Hyundai Alcazar,Low Mileage,Technology Upgrade,LOW,5
Twitter,Lucknow,Safari,Fit and finish not good,Negative,Build Quality,Negative,Mahindra XUV700,High Price,Pricing Adjustment,LOW,1.7
Twitter,Lucknow,Safari,Performance is acceptable,Neutral,Performance,Neutral,MG Hector,High Price,Technology Upgrade,LOW,1.3
ZigWheels,Chennai,Safari,Engine is adequate,Neutral,Performance,Neutral,Hyundai Alcazar,High Price,Pricing Adjustment,CRITICAL,1.4
ZigWheels,Bangalore,Safari,Ample legroom and headroom,Positive,Comfort & Space,Positive,Mahindra XUV700,Spare Part Availability,Comfort Upgrade,HIGH,4.9
ZigWheels,Lucknow,Harrier,Service delays are frustrating,Negative,Service,Negative,Hyundai Alcazar,Infotainment Lag,Feature Addition,HIGH,2.5
Twitter,Pune,Safari,Poor touch response on screen,Negative,Technology & Infotainment,Negative,Kia Seltos,Low Mileage,Technology Upgrade,MEDIUM,3.2
Twitter,Chennai,Safari,Infotainment system is smooth,Positive,Technology & Infotainment,Positive,Hyundai Alcazar,High Price,Pricing Adjustment,LOW,5
CarDekho,Bangalore,Harrier,Powerful engine performance,Positive,Performance,Positive,Kia Seltos,Service Delay,Technology Upgrade,MEDIUM,2.8
Twitter,Bangalore,Harrier,Infotainment system lags,Negative,Technology & Infotainment,Negative,Mahindra XUV700,Service Delay,Service Expansion,CRITICAL,2.6
Twitter,Bangalore,Safari,Service is average,Neutral,Service,Neutral,Kia Seltos,High Price,Service Expansion,LOW,2.7
ZigWheels,Lucknow,Harrier,Service delays are frustrating,Negative,Service,Negative,Mahindra XUV700,High Price,Feature Addition,CRITICAL,1.1
Twitter,Hyderabad,Safari,Build quality feels rock solid,Positive,Build Quality,Positive,Hyundai Creta,Service Delay,Pricing Adjustment,CRITICAL,4.2
Twitter,Hyderabad,Harrier,Service delays are frustrating,Negative,Service,Negative,Mahindra XUV700,Spare Part Availability,Technology Upgrade,HIGH,1.2
ZigWheels,Kolkata,Safari,Performance is acceptable,Neutral,Performance,Neutral,Mahindra XUV700,Spare Part Availability,Service Expansion,MEDIUM,3.2
Twitter,Delhi,Harrier,Safety is decent,Neutral,Safety,Neutral,Hyundai Alcazar,Spare Part Availability,Comfort Upgrade,CRITICAL,2.2
CarDekho,Kolkata,Harrier,Decent for its segment,Neutral,Pricing,Neutral,Hyundai Alcazar,Service Delay,Service Expansion,CRITICAL,2.3
Twitter,Chennai,Harrier,Infotainment system is smooth,Positive,Technology & Infotainment,Positive,Hyundai Creta,Low Mileage,Comfort Upgrade,MEDIUM,3.2
ZigWheels,Bangalore,Safari,Expensive maintenance,Negative,Pricing,Negative,Mahindra XUV700,Spare Part Availability,Technology Upgrade,CRITICAL,1.2
CarDekho,Mumbai,Safari,Engine is adequate,Neutral,Performance,Neutral,MG Hector,Infotainment Lag,Feature Addition,CRITICAL,3.2
CarDekho,Mumbai,Harrier,After sales service is disappointing,Negative,Service,Negative,Hyundai Creta,Service Delay,Technology Upgrade,CRITICAL,3.4
Twitter,Pune,Harrier,Features are decent,Neutral,Technology & Infotainment,Neutral,Kia Seltos,Service Delay,Technology Upgrade,LOW,1.4
ZigWheels,Hyderabad,Harrier,Support is okay,Neutral,Service,Neutral,Mahindra XUV700,High Price,Service Expansion,HIGH,2.7
ZigWheels,Pune,Safari,Stable and secure ride,Positive,Safety,Positive,MG Hector,High Price,Comfort Upgrade,MEDIUM,3.1
CarDekho,Bangalore,Safari,Powerful engine performance,Positive,Performance,Positive,Kia Seltos,Spare Part Availability,Comfort Upgrade,CRITICAL,2.2
Twitter,Mumbai,Safari,Airbags missing in base variant,Negative,Safety,Negative,MG Hector,Service Delay,Comfort Upgrade,LOW,1.9
CarDekho,Delhi,Harrier,Ample legroom and headroom,Positive,Comfort & Space,Positive,Kia Seltos,High Price,Feature Addition,LOW,3.2
ZigWheels,Bangalore,Safari,Pricing is acceptable,Neutral,Pricing,Neutral,Kia Seltos,High Price,Pricing Adjustment,LOW,1.5
Twitter,Kolkata,Harrier,Great value for money,Positive,Pricing,Positive,Mahindra XUV700,High Price,Feature Addition,MEDIUM,4.2
ZigWheels,Mumbai,Safari,Design feels outdated,Negative,Design,Negative,Hyundai Alcazar,Spare Part Availability,Feature Addition,HIGH,3.2
Twitter,Pune,Safari,Acceleration is sluggish,Negative,Performance,Negative,MG Hector,Low Mileage,Pricing Adjustment,LOW,1.3
Twitter,Pune,Harrier,Average durability,Neutral,Build Quality,Neutral,Hyundai Creta,Infotainment Lag,Technology Upgrade,LOW,1.5
CarDekho,Hyderabad,Safari,Average durability,Neutral,Build Quality,Neutral,Hyundai Creta,Service Delay,Pricing Adjustment,LOW,2.8
CarDekho,Pune,Safari,Fit and finish not good,Negative,Build Quality,Negative,Hyundai Creta,Infotainment Lag,Pricing Adjustment,HIGH,2.3
Twitter,Mumbai,Harrier,Infotainment system is smooth,Positive,Technology & Infotainment,Positive,Mahindra XUV700,Low Mileage,Technology Upgrade,CRITICAL,4.1
CarDekho,Pune,Harrier,Decent for its segment,Neutral,Pricing,Neutral,Mahindra XUV700,High Price,Feature Addition,CRITICAL,2.5
CarDekho,Chennai,Safari,Poor touch response on screen,Negative,Technology & Infotainment,Negative,MG Hector,Infotainment Lag,Feature Addition,HIGH,1.5
Twitter,Mumbai,Harrier,Features are decent,Neutral,Technology & Infotainment,Neutral,MG Hector,Service Delay,Service Expansion,MEDIUM,1.2
Twitter,Pune,Safari,Not stylish compared to rivals,Negative,Design,Negative,MG Hector,Infotainment Lag,Service Expansion,HIGH,1.9
ZigWheels,Mumbai,Safari,Strong and sturdy body,Positive,Build Quality,Positive,Mahindra XUV700,Low Mileage,Technology Upgrade,MEDIUM,2.6
CarDekho,Bangalore,Safari,Service is average,Neutral,Service,Neutral,Mahindra XUV700,Low Mileage,Service Expansion,CRITICAL,1.3
CarDekho,Hyderabad,Safari,Good after-sales experience,Positive,Service,Positive,Hyundai Alcazar,Spare Part Availability,Technology Upgrade,CRITICAL,4.1
Twitter,Delhi,Harrier,Loaded with safety features,Positive,Safety,Positive,Kia Seltos,Infotainment Lag,Service Expansion,CRITICAL,2.5
Twitter,Hyderabad,Harrier,Decent for its segment,Neutral,Pricing,Neutral,Hyundai Alcazar,High Price,Pricing Adjustment,LOW,3.3
ZigWheels,Delhi,Safari,Expensive maintenance,Negative,Pricing,Negative,Mahindra XUV700,Service Delay,Comfort Upgrade,CRITICAL,2.2
Twitter,Delhi,Harrier,Third-row comfort is poor,Negative,Comfort & Space,Negative,Kia Seltos,Service Delay,Service Expansion,CRITICAL,2.5
ZigWheels,Chennai,Safari,Build quality is fine,Neutral,Build Quality,Neutral,Kia Seltos,High Price,Feature Addition,LOW,2.6
Twitter,Lucknow,Harrier,Brakes lack confidence,Negative,Safety,Negative,Hyundai Alcazar,Spare Part Availability,Feature Addition,LOW,2.2
ZigWheels,Kolkata,Harrier,Looks are average,Neutral,Design,Neutral,Kia Seltos,High Price,Service Expansion,MEDIUM,1
CarDekho,Pune,Harrier,Loaded with modern features,Positive,Technology & Infotainment,Positive,Mahindra XUV700,Service Delay,Comfort Upgrade,LOW,2.7
CarDekho,Pune,Safari,Build quality feels rock solid,Positive,Build Quality,Positive,Hyundai Alcazar,High Price,Technology Upgrade,LOW,2.6
ZigWheels,Lucknow,Safari,Not stylish compared to rivals,Negative,Design,Negative,Hyundai Alcazar,High Price,Feature Addition,HIGH,1.6
CarDekho,Mumbai,Harrier,Loaded with safety features,Positive,Safety,Positive,MG Hector,High Price,Service Expansion,CRITICAL,2.2
Twitter,Pune,Harrier,Fit and finish not good,Negative,Build Quality,Negative,Kia Seltos,Spare Part Availability,Feature Addition,LOW,1.5
Twitter,Mumbai,Harrier,Fit and finish not good,Negative,Build Quality,Negative,Mahindra XUV700,Spare Part Availability,Technology Upgrade,MEDIUM,2.2
ZigWheels,Lucknow,Safari,Service delays are frustrating,Negative,Service,Negative,Mahindra XUV700,Infotainment Lag,Technology Upgrade,LOW,3.2
ZigWheels,Mumbai,Safari,Acceleration is sluggish,Negative,Performance,Negative,Kia Seltos,Service Delay,Pricing Adjustment,CRITICAL,1.2
ZigWheels,Lucknow,Harrier,Expensive maintenance,Negative,Pricing,Negative,MG Hector,Infotainment Lag,Pricing Adjustment,MEDIUM,2.8
CarDekho,Pune,Safari,Great handling and smooth ride experience,Positive,Performance,Positive,Hyundai Creta,Low Mileage,Pricing Adjustment,LOW,3.2
Twitter,Bangalore,Safari,Service delays are frustrating,Negative,Service,Negative,Hyundai Creta,Spare Part Availability,Feature Addition,LOW,1.7
ZigWheels,Lucknow,Safari,Material quality feels cheap,Negative,Build Quality,Negative,Hyundai Creta,Service Delay,Comfort Upgrade,CRITICAL,3.3
Twitter,Delhi,Harrier,Design feels outdated,Negative,Design,Negative,Hyundai Alcazar,Service Delay,Technology Upgrade,CRITICAL,2.4
Twitter,Mumbai,Safari,Service is average,Neutral,Service,Neutral,Mahindra XUV700,Infotainment Lag,Comfort Upgrade,HIGH,1.9
ZigWheels,Delhi,Safari,Modern design with stylish aesthetics,Positive,Design,Positive,Kia Seltos,High Price,Technology Upgrade,CRITICAL,4.3
ZigWheels,Kolkata,Harrier,Average durability,Neutral,Build Quality,Neutral,Mahindra XUV700,High Price,Comfort Upgrade,HIGH,1.6
Twitter,Delhi,Safari,Average durability,Neutral,Build Quality,Neutral,Kia Seltos,High Price,Service Expansion,MEDIUM,1.7
ZigWheels,Mumbai,Safari,Powerful engine performance,Positive,Performance,Positive,Hyundai Creta,High Price,Technology Upgrade,HIGH,2.3
Twitter,Bangalore,Harrier,Airbags missing in base variant,Negative,Safety,Negative,Kia Seltos,Infotainment Lag,Service Expansion,LOW,2.8
ZigWheels,Delhi,Harrier,Third-row comfort is poor,Negative,Comfort & Space,Negative,MG Hector,Service Delay,Comfort Upgrade,MEDIUM,2.3
Twitter,Chennai,Harrier,Service centers are supportive,Positive,Service,Positive,Hyundai Creta,Spare Part Availability,Comfort Upgrade,HIGH,4.2
Twitter,Delhi,Safari,Brakes lack confidence,Negative,Safety,Negative,Mahindra XUV700,Spare Part Availability,Feature Addition,HIGH,3
CarDekho,Bangalore,Safari,Material quality feels cheap,Negative,Build Quality,Negative,Hyundai Alcazar,Spare Part Availability,Pricing Adjustment,CRITICAL,3
ZigWheels,Kolkata,Harrier,Technology is acceptable,Neutral,Technology & Infotainment,Neutral,MG Hector,Service Delay,Technology Upgrade,MEDIUM,1.8
Twitter,Chennai,Safari,Brakes lack confidence,Negative,Safety,Negative,Hyundai Creta,Infotainment Lag,Service Expansion,CRITICAL,1.4
ZigWheels,Chennai,Harrier,Stable and secure ride,Positive,Safety,Positive,Mahindra XUV700,Spare Part Availability,Technology Upgrade,HIGH,4.1
CarDekho,Hyderabad,Harrier,Seats are not comfortable,Negative,Comfort & Space,Negative,Hyundai Creta,Infotainment Lag,Technology Upgrade,CRITICAL,1.8
ZigWheels,Bangalore,Harrier,Engine is adequate,Neutral,Performance,Neutral,Kia Seltos,Low Mileage,Technology Upgrade,LOW,1.4
ZigWheels,Bangalore,Harrier,Loaded with modern features,Positive,Technology & Infotainment,Positive,MG Hector,Spare Part Availability,Feature Addition,MEDIUM,3.4
CarDekho,Lucknow,Harrier,Loaded with safety features,Positive,Safety,Positive,Mahindra XUV700,Service Delay,Technology Upgrade,LOW,2.9
Twitter,Delhi,Harrier,Pricing is acceptable,Neutral,Pricing,Neutral,Hyundai Alcazar,Low Mileage,Service Expansion,HIGH,1.8
ZigWheels,Pune,Safari,Modern design with stylish aesthetics,Positive,Design,Positive,Mahindra XUV700,Service Delay,Pricing Adjustment,CRITICAL,3.1
Twitter,Lucknow,Harrier,Ample legroom and headroom,Positive,Comfort & Space,Positive,MG Hector,Low Mileage,Comfort Upgrade,MEDIUM,4.7
CarDekho,Chennai,Harrier,Airbags missing in base variant,Negative,Safety,Negative,Mahindra XUV700,Spare Part Availability,Pricing Adjustment,HIGH,2.7
CarDekho,Kolkata,Safari,Technology is acceptable,Neutral,Technology & Infotainment,Neutral,MG Hector,Service Delay,Comfort Upgrade,LOW,2.7
ZigWheels,Mumbai,Harrier,Third-row comfort is poor,Negative,Comfort & Space,Negative,MG Hector,High Price,Feature Addition,HIGH,1.4
ZigWheels,Chennai,Harrier,Not stylish compared to rivals,Negative,Design,Negative,Hyundai Alcazar,Low Mileage,Service Expansion,MEDIUM,2.8
Twitter,Pune,Harrier,Service delays are frustrating,Negative,Service,Negative,Mahindra XUV700,Low Mileage,Technology Upgrade,LOW,2.8
Twitter,Mumbai,Harrier,Spacious cabin and comfortable for long drives,Positive,Comfort & Space,Positive,Kia Seltos,Service Delay,Technology Upgrade,CRITICAL,3.2
ZigWheels,Bangalore,Harrier,Expensive maintenance,Negative,Pricing,Negative,Hyundai Alcazar,Low Mileage,Feature Addition,LOW,3
ZigWheels,Mumbai,Harrier,Poor touch response on screen,Negative,Technology & Infotainment,Negative,MG Hector,High Price,Comfort Upgrade,HIGH,3.3
CarDekho,Delhi,Harrier,Safety is decent,Neutral,Safety,Neutral,Mahindra XUV700,Service Delay,Pricing Adjustment,CRITICAL,1.4
ZigWheels,Chennai,Harrier,Spacious cabin and comfortable for long drives,Positive,Comfort & Space,Positive,MG Hector,Infotainment Lag,Pricing Adjustment,MEDIUM,4
CarDekho,Pune,Safari,Loaded with modern features,Positive,Technology & Infotainment,Positive,MG Hector,Spare Part Availability,Feature Addition,HIGH,3.8
ZigWheels,Pune,Safari,Comfort is decent,Neutral,Comfort & Space,Neutral,Hyundai Alcazar,Low Mileage,Technology Upgrade,MEDIUM,1.9
Twitter,Chennai,Harrier,Looks are average,Neutral,Design,Neutral,Hyundai Creta,Spare Part Availability,Feature Addition,HIGH,1.7
CarDekho,Mumbai,Harrier,Poor touch response on screen,Negative,Technology & Infotainment,Negative,Kia Seltos,Service Delay,Pricing Adjustment,HIGH,1.9
ZigWheels,Hyderabad,Safari,Service is average,Neutral,Service,Neutral,Kia Seltos,Spare Part Availability,Comfort Upgrade,HIGH,1.4
Twitter,Bangalore,Harrier,Poor touch response on screen,Negative,Technology & Infotainment,Negative,Hyundai Alcazar,Infotainment Lag,Comfort Upgrade,CRITICAL,1.6
ZigWheels,Chennai,Harrier,Seats are not comfortable,Negative,Comfort & Space,Negative,Kia Seltos,High Price,Feature Addition,CRITICAL,3
CarDekho,Mumbai,Safari,Not stylish compared to rivals,Negative,Design,Negative,MG Hector,Infotainment Lag,Comfort Upgrade,CRITICAL,1.5
Twitter,Bangalore,Safari,Expensive maintenance,Negative,Pricing,Negative,Hyundai Alcazar,Spare Part Availability,Technology Upgrade,MEDIUM,1.1
Twitter,Delhi,Safari,Performance is acceptable,Neutral,Performance,Neutral,Hyundai Creta,Service Delay,Technology Upgrade,HIGH,1.9
CarDekho,Mumbai,Safari,Engine feels noisy,Negative,Performance,Negative,Kia Seltos,High Price,Comfort Upgrade,HIGH,3.2
Twitter,Mumbai,Harrier,Expensive maintenance,Negative,Pricing,Negative,Kia Seltos,High Price,Comfort Upgrade,LOW,3
CarDekho,Delhi,Safari,Powerful engine performance,Positive,Performance,Positive,MG Hector,Infotainment Lag,Service Expansion,CRITICAL,3.1
Twitter,Pune,Safari,Great handling and smooth ride experience,Positive,Performance,Positive,Mahindra XUV700,Spare Part Availability,Technology Upgrade,LOW,4.7
CarDekho,Chennai,Safari,Service centers are supportive,Positive,Service,Positive,Kia Seltos,Spare Part Availability,Technology Upgrade,HIGH,2.6
Twitter,Hyderabad,Safari,Acceleration is sluggish,Negative,Performance,Negative,Hyundai Creta,Infotainment Lag,Comfort Upgrade,CRITICAL,2.4
CarDekho,Chennai,Safari,Pricing is acceptable,Neutral,Pricing,Neutral,Hyundai Creta,Infotainment Lag,Service Expansion,LOW,2.5
Twitter,Bangalore,Safari,Design feels outdated,Negative,Design,Negative,Mahindra XUV700,Spare Part Availability,Pricing Adjustment,LOW,3
CarDekho,Hyderabad,Harrier,Great value for money,Positive,Pricing,Positive,Kia Seltos,High Price,Technology Upgrade,CRITICAL,3.2
CarDekho,Delhi,Safari,Service is average,Neutral,Service,Neutral,Hyundai Creta,Infotainment Lag,Technology Upgrade,HIGH,1.6
ZigWheels,Chennai,Harrier,Engine feels noisy,Negative,Performance,Negative,Kia Seltos,Infotainment Lag,Pricing Adjustment,CRITICAL,3
Twitter,Hyderabad,Harrier,Safety is decent,Neutral,Safety,Neutral,Hyundai Alcazar,Low Mileage,Technology Upgrade,CRITICAL,1.9
Twitter,Delhi,Safari,Service centers are supportive,Positive,Service,Positive,Hyundai Alcazar,Service Delay,Service Expansion,MEDIUM,3
Twitter,Hyderabad,Harrier,Service centers are supportive,Positive,Service,Positive,MG Hector,High Price,Pricing Adjustment,HIGH,4.3
ZigWheels,Bangalore,Harrier,Ample legroom and headroom,Positive,Comfort & Space,Positive,Hyundai Alcazar,Low Mileage,Feature Addition,MEDIUM,2.4
Twitter,Chennai,Harrier,Average durability,Neutral,Build Quality,Neutral,Mahindra XUV700,Low Mileage,Technology Upgrade,CRITICAL,2.9
CarDekho,Lucknow,Safari,Airbags missing in base variant,Negative,Safety,Negative,Hyundai Alcazar,Spare Part Availability,Feature Addition,LOW,3
ZigWheels,Kolkata,Safari,Brakes lack confidence,Negative,Safety,Negative,Mahindra XUV700,Low Mileage,Service Expansion,MEDIUM,2.3
Twitter,Chennai,Harrier,Fit and finish not good,Negative,Build Quality,Negative,MG Hector,Low Mileage,Comfort Upgrade,LOW,1
Twitter,Bangalore,Harrier,Seats are not comfortable,Negative,Comfort & Space,Negative,Hyundai Creta,Service Delay,Feature Addition,MEDIUM,1.8
Twitter,Pune,Safari,Brakes lack confidence,Negative,Safety,Negative,MG Hector,Service Delay,Technology Upgrade,MEDIUM,2.3
Twitter,Chennai,Harrier,Comfort is decent,Neutral,Comfort & Space,Neutral,Mahindra XUV700,High Price,Service Expansion,CRITICAL,3.3
Twitter,Chennai,Harrier,Design feels outdated,Negative,Design,Negative,Kia Seltos,High Price,Pricing Adjustment,LOW,2.9
CarDekho,Hyderabad,Safari,Engine is adequate,Neutral,Performance,Neutral,Kia Seltos,Low Mileage,Service Expansion,HIGH,1.6
CarDekho,Bangalore,Harrier,Spacious cabin and comfortable for long drives,Positive,Comfort & Space,Positive,Hyundai Creta,High Price,Technology Upgrade,MEDIUM,4.7
ZigWheels,Bangalore,Harrier,Bold looks and premium cabin,Positive,Design,Positive,MG Hector,Low Mileage,Service Expansion,MEDIUM,2.3
ZigWheels,Chennai,Safari,Great value for money,Positive,Pricing,Positive,Hyundai Alcazar,Low Mileage,Comfort Upgrade,MEDIUM,2.3
ZigWheels,Hyderabad,Safari,Great handling and smooth ride experience,Positive,Performance,Positive,Mahindra XUV700,Low Mileage,Technology Upgrade,LOW,2.4
Twitter,Hyderabad,Safari,Good after-sales experience,Positive,Service,Positive,Hyundai Alcazar,High Price,Feature Addition,CRITICAL,4.2
ZigWheels,Bangalore,Harrier,Technology is acceptable,Neutral,Technology & Infotainment,Neutral,Hyundai Creta,Low Mileage,Feature Addition,LOW,1.8
Twitter,Chennai,Safari,Spacious cabin and comfortable for long drives,Positive,Comfort & Space,Positive,Kia Seltos,Low Mileage,Service Expansion,HIGH,3.2
Twitter,Bangalore,Harrier,Powerful engine performance,Positive,Performance,Positive,Hyundai Creta,Low Mileage,Pricing Adjustment,CRITICAL,2.3
ZigWheels,Delhi,Safari,Support is okay,Neutral,Service,Neutral,Hyundai Creta,High Price,Service Expansion,LOW,2.9
ZigWheels,Delhi,Safari,Adequate safety features,Neutral,Safety,Neutral,Hyundai Creta,High Price,Service Expansion,MEDIUM,2
ZigWheels,Hyderabad,Harrier,Loaded with safety features,Positive,Safety,Positive,Hyundai Alcazar,Infotainment Lag,Comfort Upgrade,HIGH,4.3
ZigWheels,Kolkata,Harrier,High price for features offered,Negative,Pricing,Negative,Mahindra XUV700,Spare Part Availability,Service Expansion,HIGH,2.6
CarDekho,Hyderabad,Safari,Design feels outdated,Negative,Design,Negative,Hyundai Alcazar,Infotainment Lag,Service Expansion,LOW,1.3
Twitter,Pune,Safari,Infotainment system is smooth,Positive,Technology & Infotainment,Positive,Hyundai Creta,Spare Part Availability,Pricing Adjustment,MEDIUM,2.2
